indexnav_id,indexnav_big_title,indexnav_min_title1,indexnav_min_title2,indexnav_min_title3,indexnav_min_title4,indexnav_min_title5,indexnav_min_title6,indexnav_min_title7,indexnav_min_title8,indexnav_min_title9,indexnav_left_img,indexnav_right_img1,indexnav_right_img2
1,生鲜水果,车厘子/樱桃,橙,牛排,芒果,虾,鸡肉,柑/橘/桔,牛肉,梨,/php/tmall/src/public/img/index/indexfenlie-240-296-1.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-1.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-2.jpg
2,进口零食速食,饼干,糕点,坚果,巧克力,方便面,蜜饯果干,薯片膨化,糖果,海产品,/php/tmall/src/public/img/index/indexfenlie-240-296-2.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-3.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-4.jpg
3,进口酒饮粮油,其他食用油,大米,橄榄油,调味酱,洋酒/烈酒,水,茶叶,调味汁/油,冲饮茶/蜂蜜,/php/tmall/src/public/img/index/indexfenlie-240-296-3.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-5.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-6.jpg
4,奶制品,进口纯牛奶,进口含乳饮料,进口酸奶,常温奶,含乳饮料,酸奶,蒙牛,伊利,旺旺,/php/tmall/src/public/img/index/indexfenlie-240-296-4.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-7.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-8.jpg
5,休闲零食,好吃的坚果,猪肉类,牛肉类,芒果/蔬果干,蓝莓/橄榄,核桃/核桃仁,鸡鸭/禽肉类,瓜子,豆类制品,/php/tmall/src/public/img/index/indexfenlie-240-296-5.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-9.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-10.jpg
6,饼干糖巧,巧克力,糖果,饼干,西式糕点,传统糕点,薯片/膨化,果冻/布丁,口香糖,良品铺子,/php/tmall/src/public/img/index/indexfenlie-240-296-6.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-11.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-12.jpg
7,酒水饮料,白酒,保健酒,碳酸饮料,果蔬饮料,咖啡饮料,功能饮料,农夫山泉,百事可乐,维他,/php/tmall/src/public/img/index/indexfenlie-240-296-7.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-13.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-14.jpg
8,冲饮保健,蜂蜜,植物精华,枸杞,膳食营养剂,燕窝,阿胶,成人奶粉,普洱茶,芝麻糊/藕粉,/php/tmall/src/public/img/index/indexfenlie-240-296-8.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-15.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-16.jpg
9,米面杂粮,大米,腊肠/腊肉,干菜/紫菜,莲子,银耳,百合,海产品,豆类,桂圆干,/php/tmall/src/public/img/index/indexfenlie-240-296-9.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-17.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-18.jpg
10,油品调味,花生油,调和油,葵花籽油,大豆油,橄榄油,玉米油,调味料,调味酱,腌制品,/php/tmall/src/public/img/index/indexfenlie-240-296-10.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-19.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-20.jpg
11,个人清洁,车厘子/樱桃,橙,牛排,芒果,虾,鸡肉,柑/橘/桔,牛肉,梨,/php/tmall/src/public/img/index/indexfenlie-240-296-11.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-21.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-22.jpg
12,美容护肤,饼干,糕点,坚果,巧克力,方便面,蜜饯果干,薯片膨化,糖果,海产品,/php/tmall/src/public/img/index/indexfenlie-240-296-12.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-23.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-24.jpg
13,个人护理,其他食用油,大米,橄榄油,调味酱,洋酒/烈酒,水,茶叶,调味汁/油,冲饮茶/蜂蜜,/php/tmall/src/public/img/index/indexfenlie-240-296-13.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-25.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-26.jpg
14,纸制品,进口纯牛奶,进口含乳饮料,进口酸奶,常温奶,含乳饮料,酸奶,蒙牛,伊利,旺旺,/php/tmall/src/public/img/index/indexfenlie-240-296-14.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-27.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-28.jpg
